tatoeba_id	grammar_label	spanish	english	license
2011085	present_ar_hablar	Hablo español.	I speak Spanish.	CC BY 2.0
1550980	present_ar_hablar	¿Hablas español?	Do you speak Spanish?	CC BY 2.0
12591952	present_ar_hablar	Sí, hablo español.	Yes, I speak Spanish.	CC BY 2.0
13601829	present_ar_hablar	Hablo bien.	I speak well.	CC BY 2.0
10700977	present_ar_hablar	Hablas bien.	You speak well.	CC BY 2.0
1618137	present_ar_hablar	Habla bien.	He talks well.	CC BY 2.0
5567607	present_er_comer	Comemos en casa.	We eat at home.	CC BY 2.0
1003049	present_er_comer	¿Coméis en clase?	Do you eat in the classroom?	CC BY 2.0
638641	present_er_comer	¿Comes en clase?	Do you eat it in the classroom?	CC BY 2.0
13813142	present_ir_vivir	Vivo en Teherán.	I live in Tehran.	CC BY 2.0
13759808	present_ir_vivir	Vivimos en Rusia.	We live in Russia.	CC BY 2.0
13662115	present_ir_vivir	Vivís en Kazán.	You live in Kazan.	CC BY 2.0
13662114	present_ir_vivir	Vives en Kazán.	You live in Kazan.	CC BY 2.0
9288835	present_ir_vivir	Vivo en Madrid.	I live in Madrid.	CC BY 2.0
574254	ser_student	Soy estudiante.	I am a student.	CC BY 2.0
1236875	ser_profession	Soy profesora.	I am a professor.	CC BY 2.0
1237128	ser_profession	¿Es doctor?	Is he a doctor?	CC BY 2.0
5057935	ser_quality	Eres inteligente.	You're clever.	CC BY 2.0
4910834	ser_nosotros	Somos amigos.	We're friends.	CC BY 2.0
6712760	ser_nosotros	Somos amigas.	We're friends.	CC BY 2.0
12852530	ser_origin	Soy de Serbia.	I'm from Serbia.	CC BY 2.0
11719707	ser_origin	Soy de Rumanía.	I'm from Romania.	CC BY 2.0
10707146	ser_origin	Soy de Moscú.	I'm from Moscow.	CC BY 2.0
10012192	estar_location	Estoy en España.	I'm in Spain.	CC BY 2.0
13411881	estar_location	Estoy en Estambul.	I'm in Istanbul.	CC BY 2.0
1630760	estar_location	Estamos en casa.	We are at home.	CC BY 2.0
545616	estar_location	Hoy estamos en casa.	We are at home today.	CC BY 2.0
2445058	estar_state	¡Estoy cansado!	I'm tired.	CC BY 2.0
455960	estar_state	Estoy cansada.	I'm tired.	CC BY 2.0
1372070	estar_state	Está bien.	It's OK.	CC BY 2.0
11047910	hay	Hay un espejo.	There's a mirror.	CC BY 2.0
10790369	hay	Hay un árbol.	There is a tree.	CC BY 2.0
5130088	hay	¿Hay un ascensor?	Is there an elevator?	CC BY 2.0
10217702	gustar	Me gustáis.	I like you.	CC BY 2.0
3349210	tener_expression	Tengo hambre.	I am hungry.	CC BY 2.0
436378	tener_expression	¡Tengo hambre!	I feel hungry.	CC BY 2.0
4064118	tener_expression	¡Tienes razón!	You have a point.	CC BY 2.0
1821012	tener_expression	Tiene razón.	He's right.	CC BY 2.0
6198590	tener_expression	¿Tienes frío?	Are you cold?	CC BY 2.0
5147497	tener_expression	Tom tiene frío.	Tom felt cold.	CC BY 2.0
12012343	demonstrative_este	¿Leíste este libro?	Did you read this book?	CC BY 2.0
11270196	demonstrative_este	Adoro este libro.	I revere this book.	CC BY 2.0
2270556	demonstrative_ese	¿Quién es ese chico?	Who is that boy?	CC BY 2.0
1258456	demonstrative_ese	Ese chico es inteligente.	That boy has good brains.	CC BY 2.0
10121821	demonstrative_ese	¿Ese chico es un estudiante?	Is that boy a student?	CC BY 2.0
13611188	possessive_mi	Mi casa está ahí.	My house is there.	CC BY 2.0
1390069	possessive_mi	Venderé mi casa.	I'm going to sell my house.	CC BY 2.0
449153	reflexive_llamarse	¿Cómo te llamas?	What is your name?	CC BY 2.0
12158942	negation_no_tengo	No tengo computador.	I don't have a computer.	CC BY 2.0
1617999	interrogative_que	¿Qué es?	What is it?	CC BY 2.0
687629	interrogative_donde	¿Dónde está?	Where is this?	CC BY 2.0
436194	interrogative_cuanto	¿Cuánto cuesta?	How much is it?	CC BY 2.0
375872	interrogative_porque	¿Por qué?	Why?	CC BY 2.0
13526905	definite_article	¿Quieres el libro?	Do you want the book?	CC BY 2.0
13521360	indefinite_article	¿Quieres un libro?	Do you want the book?	CC BY 2.0
11975875	indefinite_article	Escribió un libro.	He wrote a book.	CC BY 2.0
13720057	tener_que	¿Tengo que tocarlos?	Do I have to touch them?	CC BY 2.0
13490249	ir_a	¡Voy a comer!	I am going to eat!	CC BY 2.0
13322289	ir_a	Voy a divertirme.	I'm going to have fun.	CC BY 2.0
7758344	negation_nunca	Nunca voy a la playa.	I never go to the beach.	CC BY 2.0
745715	negation_nunca	Nunca voy a ningún lado.	I never go anywhere.	CC BY 2.0
1570913	reflexive_levantarse	Recién me levanté.	I just got up.	CC BY 2.0
8359498	interrogative_cuantos	¿Cuántos años tienen?	How old are they?	CC BY 2.0
1644226	interrogative_cuantos	¿Cuántos años tenéis?	How old are you?	CC BY 2.0
6591375	causal_porque	Habla tanto porque es así.	He talks a lot because that's how he is.	CC BY 2.0
2258700	causal_porque	Aligera porque es tarde.	Hurry up, it's late.	CC BY 2.0
