tatoeba_id	grammar_label	french	english	license
14326	present_er_parler	J'étudie l'anglais.	I'm studying English.	CC BY 2.0
6796	present_er_parler	Il parle anglais.	He is speaking English.	CC BY 2.0
15033	present_er_parler	Parlons anglais.	Let's speak English.	CC BY 2.0
558576	present_er_parler	Parles-tu italien ?	Do you speak Italian?	CC BY 2.0
9311	present_er_parler	Parlez-vous anglais ?	Do you speak English?	CC BY 2.0
430396	present_er_travailler	Tu travailles dur.	You work hard.	CC BY 2.0
15520	present_er_travailler	Il travaille bien.	He works well.	CC BY 2.0
2226654	present_er_travailler	Vous travaillez dur.	You work hard.	CC BY 2.0
7555	present_er_aimer	J'aime les chiens.	I like dogs.	CC BY 2.0
6785	present_er_aimer	J'aime apprendre l'anglais.	I like to study English.	CC BY 2.0
342086	present_er_aimer	Qu'aimes-tu ?	What do you like?	CC BY 2.0
9626	present_er_habiter	J'habite à Kakogawa.	I live in Kakogawa.	CC BY 2.0
6145	present_er_habiter	Où habites-tu ?	Where do you live?	CC BY 2.0
6556	etre_present	Je suis heureux.	I am happy.	CC BY 2.0
6692	etre_present	Je suis étudiant.	I am a student.	CC BY 2.0
3252	etre_present	Je suis curieux.	I am curious.	CC BY 2.0
8826	etre_present	Nous sommes lundi.	It's Monday.	CC BY 2.0
3989	etre_present	Où es-tu ?	Where are you?	CC BY 2.0
15601	etre_present	Elle est heureuse.	She is happy.	CC BY 2.0
14484	etre_present	Il est enseignant.	He is a teacher.	CC BY 2.0
3636	avoir_present	J'ai soif.	I'm thirsty.	CC BY 2.0
3447	avoir_present	J'ai un rêve.	I have a dream.	CC BY 2.0
6567	avoir_present	J'ai un chien.	I have a dog.	CC BY 2.0
7896	avoir_present	J'ai deux filles.	I have two daughters.	CC BY 2.0
3640	avoir_present	Tu as raison.	You're right.	CC BY 2.0
15441	aller_present	Je vais essayer.	I will try.	CC BY 2.0
378541	aller_present	Je vais y aller.	I'm going to go.	CC BY 2.0
3991	aller_present	Où vas-tu ?	Where are you going?	CC BY 2.0
8664	aller_present	Va au parc.	Go to the park.	CC BY 2.0
3635	faire_present	Il fait froid.	It's cold.	CC BY 2.0
8415	faire_present	Il fait frais aujourd'hui.	It's cool today.	CC BY 2.0
7403	faire_present	Je fais trop d'erreurs.	I make too many mistakes.	CC BY 2.0
1037587	faire_present	Tu fais quoi ?	What are you doing?	CC BY 2.0
6531	venir_present	Je viens d'arriver.	I just arrived now.	CC BY 2.0
10660	venir_present	Je viens d'Angleterre.	I come from England.	CC BY 2.0
10978	venir_present	Je viens du Canada.	I'm from Canada.	CC BY 2.0
15362	pouvoir_present	Il peut venir.	He can come.	CC BY 2.0
6925	pouvoir_present	Je peux parler français.	I can speak French.	CC BY 2.0
474834	pouvoir_present	Tu peux y aller.	You may go there.	CC BY 2.0
126643	pouvoir_present	Tu peux y arriver.	You can do it.	CC BY 2.0
3439	vouloir_present	Que veux-tu ?	What do you want?	CC BY 2.0
6368	vouloir_present	Je veux conduire.	I want to drive.	CC BY 2.0
6617	vouloir_present	Je veux t'accompagner.	I want to go with you.	CC BY 2.0
3874	vouloir_present	Je veux un bonbon.	I want a piece of candy.	CC BY 2.0
7229	present_ir_finir	Je finis mes devoirs.	I'm finishing my homework.	CC BY 2.0
8509	present_ir_partir	Je pars maintenant.	I'm leaving now.	CC BY 2.0
6520	present_ir_sortir	Je sors cet après-midi.	I am going out this afternoon.	CC BY 2.0
3528	present_re_comprendre	Je ne comprends pas.	I don't get it.	CC BY 2.0
3605	present_re_comprendre	Je ne comprends pas l'allemand.	I don't understand German.	CC BY 2.0
