tatoeba_id	grammar_label	french	english	license
7306705	subjonctif_present_aller_irreg	Il faut que j'aille dormir.	I have to go to sleep.	CC BY 2.0
9033	subjonctif_present_regulier	Je veux que vous partiez.	I want you to go.	CC BY 2.0
10253	subjonctif_present_aller_irreg	J'aimerais que vous y alliez.	I'd like for you to go.	CC BY 2.0
15036	subjonctif_present_regulier	J'aimerais que la pluie cesse.	I wish the rain would stop.	CC BY 2.0
12842	subjonctif_trigger_emotion	J'ai peur qu'il pleuve.	I'm afraid it's going to rain.	CC BY 2.0
14279	subjonctif_savoir_irreg	Pas autant que je sache.	Not that I know of.	CC BY 2.0
8623	subjonctif_etre_irreg	Bénis soient les pauvres d'esprit.	Blessed are the poor in spirit.	CC BY 2.0
15189	subjonctif_etre_irreg	Que ce soit fait immédiatement.	Let it be done at once.	CC BY 2.0
6837	conditionnel_present_politesse	J'aimerais aller à Londres.	I'd like to go to London.	CC BY 2.0
11932	conditionnel_present_politesse	Je voudrais voir M. Serrurier.	I would like to see Mr Smith.	CC BY 2.0
11953	conditionnel_present_politesse	Pardon, pourriez-vous répéter ?	I beg your pardon?	CC BY 2.0
3581	conditionnel_present_politesse	J'aimerais faire mes études à Paris.	I'd like to study in Paris.	CC BY 2.0
12349	conditionnel_present_conseil	Ce serait mieux d'essayer.	It would be better to try.	CC BY 2.0
3556	conditionnel_present_hypothese	Il serait ravi d'entendre ça.	He would be glad to hear that.	CC BY 2.0
13929	conditionnel_present_hypothese	Il ferait un bon mari.	He'll make a good husband.	CC BY 2.0
10925	conditionnel_present_hypothese	Il pourrait pleuvoir vers midi.	It may rain around noon.	CC BY 2.0
13851	conditionnel_present_futur_passe	Je savais que tu viendrais.	I knew you'd come.	CC BY 2.0
3875	conditionnel_present_futur_passe	Je savais qu'aujourd'hui serait amusant.	I knew that today would be fun.	CC BY 2.0
417434	conditionnel_devoir_conseil	Tu devrais le remercier.	You ought to thank him.	CC BY 2.0
417442	conditionnel_devoir_conseil	Tu devrais travailler fort.	You should work hard.	CC BY 2.0
480483	conditionnel_devoir_conseil	Tu devrais étudier davantage.	You should study harder.	CC BY 2.0
135843	conditionnel_devoir_conseil	Tu devrais lui demander conseil.	You ought to ask him for advice.	CC BY 2.0
427079	conditionnel_devoir_conseil	Tu devrais arrêter de boire.	You should give up drinking.	CC BY 2.0
6410	plus_que_parfait	J'avais réparé ma montre.	I had repaired my watch.	CC BY 2.0
13463	plus_que_parfait	Maman ne l'avait pas mentionné.	Mom didn't mention it.	CC BY 2.0
15569	discours_rapporte_dire_que	Elle dit qu'elle viendra.	She says she will come.	CC BY 2.0
3395	discours_rapporte_dire_que	On dit que l'amour est aveugle.	They say love is blind.	CC BY 2.0
7622	discours_rapporte_dire_que	Ma mère m'a dit d'étudier.	My mother said to me, "Study."	CC BY 2.0
3203	discours_rapporte_demander_comment	Elle demande comment c’est possible.	She's asking how that's possible.	CC BY 2.0
4326	pronoms_ce_qui	Dis-moi ce qui est arrivé.	Tell me what happened.	CC BY 2.0
474087	pronoms_ce_qui	Qu'est-ce qui t'a réveillé ?	What woke you up?	CC BY 2.0
14157	pronoms_ce_que	C'est ce que je pensais.	Actually, that's what I thought.	CC BY 2.0
8636	pronoms_ce_que	Mangez ce que vous voulez.	Eat whatever food you like.	CC BY 2.0
8641	pronoms_ce_que	Fais ce que tu aimes.	Do what you like.	CC BY 2.0
12565	pronoms_celui_qui	Celui qui hésite est perdu.	He who hesitates is lost.	CC BY 2.0
12881	pronoms_celui_que	Mangez celui qui vous plaît.	Eat whichever one you like.	CC BY 2.0
12413	double_pronoms_me_le	Je te le donnerai.	I will give it to you.	CC BY 2.0
492320	double_pronoms_me_le	Je te la prêterai.	I'll lend it to you.	CC BY 2.0
477142	double_pronoms_me_le	Je te le laisse.	I'm leaving it to you.	CC BY 2.0
563219	double_pronoms_me_le	Je voulais te le montrer.	I wanted to show it to you.	CC BY 2.0
4926556	double_pronoms_le_lui	Oses-tu le lui demander ?	Dare you ask him about it?	CC BY 2.0
11889	double_pronoms_le_lui	Je vous l'ai déjà dit.	I already told you.	CC BY 2.0
15088	double_pronoms_m_en	Donnez-m'en juste un peu.	Give me just a little.	CC BY 2.0
3721	gerondif	Ferme la porte en sortant.	Close the door when you leave.	CC BY 2.0
3705	gerondif	J'ai lu un livre en mangeant.	I read a book while eating.	CC BY 2.0
3626	gerondif	Affronte la vie en souriant !	Face life with a smile!	CC BY 2.0
13483	participe_present_adjectival	C'est un fossile vivant !	He is a living fossil!	CC BY 2.0
13404	passif_simple	Mike a été élu président.	Mike was elected chairperson.	CC BY 2.0
14902	passif_simple	Mon projet a été rejeté.	My plan was rejected.	CC BY 2.0
15142	passif_simple	Beaucoup d'arbres ont été abattus.	A lot of trees were cut down.	CC BY 2.0
8565	passif_simple	Le parlement a été dissous.	The Diet has been dissolved.	CC BY 2.0
10301	temps_futur_quand	Partons quand vous serez prêt.	Let's leave when you are ready.	CC BY 2.0
11791	temps_futur_quand	Je partirai quand John viendra.	I will leave when John comes.	CC BY 2.0
12692	temps_futur_des_que	Descendez dès que possible.	Come downstairs as soon as possible.	CC BY 2.0
12541	si_condition_reel	J'irai, même s'il pleut demain.	I will go even if it rains tomorrow.	CC BY 2.0
13832	verbes_peripherastiques_commencer_a	Je commence à comprendre.	I am beginning to understand.	CC BY 2.0
6537	verbes_peripherastiques_commencer_a	Je commence à peine.	I'm just beginning.	CC BY 2.0
474843	verbes_peripherastiques_commencer_a	Tu commences à t'échauffer maintenant.	You're starting to warm up now.	CC BY 2.0
12603	verbes_peripherastiques_venir_de	Je viens de le rencontrer.	I met him just now.	CC BY 2.0
12555	verbes_peripherastiques_arreter_de	J'aimerais pouvoir arrêter de fumer.	I wish I could give up smoking.	CC BY 2.0
3162	conditionnel_passe_regret	C'est ce que j'aurais dit.	This is what I would have said.	CC BY 2.0
3546	conditionnel_passe_regret	Tu aurais dû m'écouter.	You should have listened to me.	CC BY 2.0
10152	conditionnel_passe_regret	Il aurait dû travailler plus.	He should have worked harder.	CC BY 2.0
8049	conditionnel_passe_regret	J'aurais aimé être un oiseau.	I wish I were a bird.	CC BY 2.0
12077	conditionnel_passe_regret	J'aurais aimé voir le film.	I wish I had seen the film.	CC BY 2.0
13626	conditionnel_passe_regret	J'aurais aimé avoir meilleure mémoire.	I wish I had a better memory.	CC BY 2.0
429507	conditionnel_passe_regret	Tu aurais pu le faire.	You could have done it.	CC BY 2.0
2061650	conditionnel_passe_regret	Tu aurais dû te présenter.	You should have introduced yourself.	CC BY 2.0
