word	pos	english	register	chain_theme_id	difficulty	fun_score	explanation	source
abdicar	verb	to abdicate	formal_administrative	1	4	6	abdicar — to abdicate, to renounce (a throne or position of power)	PCIC C2 / RAE
aberración	noun	aberration	philosophical_rhetorical	2	4	6	aberración — aberration, deviation from the norm	PCIC C2 / RAE
abjurar	verb	to abjure, to recant	formal_administrative	1	5	7	abjurar — to abjure, to formally recant or renounce (a belief or oath)	PCIC C2 / RAE
abocado	adjective	destined, headed for	literary_poetic	0	4	6	abocado — destined for, headed toward (a fate or outcome)	PCIC C2 / RAE
abominar	verb	to abominate, to loathe	formal_administrative	1	4	6	abominar — to abominate, to loathe, to detest intensely	PCIC C2 / RAE
aborígenes	noun	aboriginal peoples	formal_administrative	1	4	5	aborígenes — aboriginal peoples, indigenous inhabitants	PCIC C2 / RAE
abrogar	verb	to abrogate, to repeal	legal_juridical	3	5	7	abrogar — to abrogate, to formally repeal a law or regulation	PCIC C2 / RAE
abstención	noun	abstention	formal_administrative	1	4	5	abstención — abstention (from voting or participation)	PCIC C2 / RAE
abstinencia	noun	abstinence	psychological_abstract	6	4	5	abstinencia — abstinence, self-denial from something	PCIC C2 / RAE
abstruso	adjective	abstruse, obscure	philosophical_rhetorical	2	5	7	abstruso — abstruse, difficult to understand, obscure	PCIC C2 / RAE
acatamiento	noun	compliance, observance	formal_administrative	1	4	5	acatamiento — compliance, observance (of a rule or order)	PCIC C2 / RAE
acendrado	adjective	pure, refined, quintessential	literary_poetic	0	5	8	acendrado — pure, refined, of the highest quality or quintessential character	PCIC C2 / RAE
acérrimo	adjective	staunch, fierce, inveterate	formal_administrative	1	4	7	acérrimo — staunch, fierce, inveterate (an acérrimo enemy is a bitter enemy)	PCIC C2 / RAE
acervo	noun	heritage, cultural legacy	literary_poetic	0	4	8	acervo — heritage, cultural legacy, accumulated wealth of tradition	PCIC C2 / RAE
aciago	adjective	ill-fated, ominous	literary_poetic	0	5	8	aciago — ill-fated, ominous, bringing bad luck	PCIC C2 / RAE
acibarar	verb	to embitter, to make bitter	literary_poetic	0	5	7	acibarar — to embitter, to make (life or an experience) bitter	PCIC C2 / RAE
acicular	adjective	needle-shaped, acicular	specialized_scientific	4	5	6	acicular — needle-shaped, acicular (used in mineralogy and botany)	PCIC C2 / RAE
acometividad	noun	aggressiveness, fighting spirit	psychological_abstract	6	4	6	acometividad — aggressiveness, fighting spirit, drive to confront	PCIC C2 / RAE
acongojar	verb	to distress, to anguish	literary_poetic	0	4	7	acongojar — to distress, to cause anguish or grief	PCIC C2 / RAE
