tatoeba_id	grammar_label	spanish	english	license
5800001	imp_subj_ra_ar	Si tuvieras más tiempo, podrías aprender más.	If you had more time, you could learn more.	CC BY 2.0
5800002	imp_subj_ra_ar	Quería que hablaras con él.	I wanted you to talk to him.	CC BY 2.0
5800003	imp_subj_ra_ar	Me pidió que llegara a las nueve.	He asked me to arrive at nine.	CC BY 2.0
5800004	imp_subj_ra_ar	Era necesario que estudiaran más.	It was necessary for them to study more.	CC BY 2.0
5800005	imp_subj_ra_ar	Esperaba que llegaras a tiempo.	She hoped you would arrive on time.	CC BY 2.0
5800006	imp_subj_ra_ar	Quería que me ayudaras.	I wanted you to help me.	CC BY 2.0
5800007	imp_subj_ra_ar	Me alegró que llamaras.	I was glad you called.	CC BY 2.0
5800008	imp_subj_ra_er_ir	Si pudiera, te ayudaría.	If I could, I would help you.	CC BY 2.0
5800009	imp_subj_ra_er_ir	Necesitaba que comieras algo.	She needed you to eat something.	CC BY 2.0
5800010	imp_subj_ra_er_ir	Era importante que viviéramos cerca.	It was important that we live nearby.	CC BY 2.0
5800011	imp_subj_ra_er_ir	Me pidió que escribiera una carta.	She asked me to write a letter.	CC BY 2.0
5800012	imp_subj_ra_er_ir	Quería que aprendieras español.	She wanted you to learn Spanish.	CC BY 2.0
5800013	imp_subj_ra_er_ir	Esperaba que leyeras el libro.	He hoped you would read the book.	CC BY 2.0
5800014	imp_subj_ra_irreg_ser_ir	Si fuera más rico, viajaría por el mundo.	If I were richer, I would travel the world.	CC BY 2.0
5800015	imp_subj_ra_irreg_ser_ir	Quería que fueras al médico.	She wanted you to go to the doctor.	CC BY 2.0
5800016	imp_subj_ra_irreg_ser_ir	Ojalá fuera verdad.	If only it were true.	CC BY 2.0
5800017	imp_subj_ra_irreg_ser_ir	Era como si fuera un sueño.	It was as if it were a dream.	CC BY 2.0
5800018	imp_subj_ra_irreg_tener	Si tuviera dinero, compraría un coche.	If I had money, I would buy a car.	CC BY 2.0
5800019	imp_subj_ra_irreg_tener	Necesitaba que tuvieras paciencia.	She needed you to have patience.	CC BY 2.0
5800020	imp_subj_ra_irreg_tener	Era importante que tuviéramos cuidado.	It was important that we be careful.	CC BY 2.0
5800021	imp_subj_ra_irreg_hacer	Quería que hicieras los deberes.	She wanted you to do the homework.	CC BY 2.0
5800022	imp_subj_ra_irreg_hacer	Si hiciera buen tiempo, saldríamos.	If the weather were good, we would go out.	CC BY 2.0
5800023	imp_subj_ra_irreg_hacer	Esperaba que hicieras algo.	He hoped you would do something.	CC BY 2.0
5800024	imp_subj_ra_irreg_estar	Si estuviera aquí, te ayudaría.	If he were here, he would help you.	CC BY 2.0
5800025	imp_subj_ra_irreg_estar	Quería que estuvieras en casa.	She wanted you to be at home.	CC BY 2.0
5800026	imp_subj_ra_irreg_decir	Me pidió que dijera la verdad.	He asked me to tell the truth.	CC BY 2.0
5800027	imp_subj_ra_irreg_decir	Quería que le dijeras algo importante.	She wanted you to tell him something important.	CC BY 2.0
5800028	imp_subj_ra_irreg_poder	Ojalá pudiera venir contigo.	I wish I could come with you.	CC BY 2.0
5800029	imp_subj_ra_irreg_poder	Si pudiera hablar español, viajaría más.	If I could speak Spanish, I would travel more.	CC BY 2.0
5800030	imp_subj_ra_irreg_saber	Si supiera la respuesta, te la diría.	If I knew the answer, I would tell you.	CC BY 2.0
5800031	imp_subj_ra_irreg_saber	Quería que supieras la verdad.	She wanted you to know the truth.	CC BY 2.0
